firstname,id,motivation,share,surname,year,gender,prize
Rigoberta,554,"""in recognition of her work for social justice and ethno-cultural reconciliation based on respect for the rights of indigenous peoples""",1,Menchú Tum,1992,female,peace
Aung San Suu Kyi,553,"""for her non-violent struggle for democracy and human rights""",1,,1991,female,peace
Mikhail Sergeyevich,552,"""for his leading role in the peace process which today characterizes important parts of the international community""",1,Gorbachev,1990,male,peace
The 14th Dalai Lama (Tenzin Gyatso),551,,1,,1989,male,peace
United Nations Peacekeeping Forces,550,,1,,1988,org,peace
Oscar,549,"""for his work for peace in Central America, efforts which led to the accord signed in Guatemala on August 7 this year""",1,Arias Sánchez,1987,male,peace
Elie,548,,1,Wiesel,1986,male,peace
International Physicians for the Prevention of Nuclear War,547,,1,,1985,org,peace
Desmond Mpilo,546,,1,Tutu,1984,male,peace
Lech,545,,1,Walesa,1983,male,peace
Alva,543,,2,Myrdal,1982,female,peace
Alfonso,544,,2,García Robles,1982,male,peace
Office of the United Nations High Commissioner for Refugees (UNHCR),515,,1,,1981,org,peace
Adolfo,541,,1,Pérez Esquivel,1980,male,peace
Mother Teresa,540,,1,,1979,female,peace
Mohamed Anwar,538,,2,al-Sadat,1978,male,peace
Menachem,539,,2,Begin,1978,male,peace
Amnesty International,537,,1,,1977,org,peace
Betty,535,,2,Williams,1976,female,peace
Mairead,536,,2,Corrigan,1976,female,peace
Andrei Dmitrievich,534,,1,Sakharov,1975,male,peace
Seán,532,,2,MacBride,1974,male,peace
Eisaku,533,,2,Sato,1974,male,peace
Henry A.,530,,2,Kissinger,1973,male,peace
Le Duc Tho,531,,2,,1973,male,peace
Willy,529,,1,Brandt,1971,male,peace
Norman E.,528,,1,Borlaug,1970,male,peace
International Labour Organization (I.L.O.),527,,1,,1969,org,peace
René,526,,1,Cassin,1968,male,peace
United Nations Children's Fund (UNICEF),525,,1,,1965,org,peace
Martin Luther,524,,1,King Jr.,1964,male,peace
Comité international de la Croix Rouge (International Committee of the Red Cross),482,,2,,1963,org,peace
Ligue des Sociétés de la Croix-Rouge (League of Red Cross Societies),523,,2,,1963,org,peace
Linus Carl,217,,1,Pauling,1962,male,peace
Dag Hjalmar Agne Carl,520,,1,Hammarskjöld,1961,male,peace
Albert John,519,,1,Lutuli,1960,male,peace
Philip J.,518,,1,Noel-Baker,1959,male,peace
Georges,517,,1,Pire,1958,male,peace
Lester Bowles,516,,1,Pearson,1957,male,peace
Office of the United Nations High Commissioner for Refugees (UNHCR),515,,1,,1954,org,peace
George Catlett,514,,1,Marshall,1953,male,peace
Albert,513,,1,Schweitzer,1952,male,peace
Léon,512,,1,Jouhaux,1951,male,peace
Ralph,511,,1,Bunche,1950,male,peace
Lord (John),510,,1,Boyd Orr of Brechin,1949,male,peace
Friends Service Council (The Quakers),508,,2,,1947,org,peace
American Friends Service Committee (The Quakers),509,,2,,1947,org,peace
Emily Greene,506,,2,Balch,1946,female,peace
John Raleigh,507,,2,Mott,1946,male,peace
Cordell,505,,1,Hull,1945,male,peace
Comité international de la Croix Rouge (International Committee of the Red Cross),482,,1,,1944,org,peace
Office international Nansen pour les Réfugiés (Nansen International Office for Refugees),503,,1,,1938,org,peace
"Cecil of Chelwood, Viscount",502,,1,(Lord Edgar Algernon Robert Gascoyne Cecil),1937,male,peace
Carlos,501,,1,Saavedra Lamas,1936,male,peace
Carl,500,,1,von Ossietzky,1935,male,peace
Arthur,499,,1,Henderson,1934,male,peace
Sir Norman,498,,1,Angell (Ralph Lane),1933,male,peace
Jane,496,,2,Addams,1931,female,peace
Nicholas Murray,497,,2,Butler,1931,male,peace
Lars Olof Jonathan (Nathan),495,,1,Söderblom,1930,male,peace
Frank Billings,494,,1,Kellogg,1929,male,peace
Ferdinand,492,,2,Buisson,1927,male,peace
Ludwig,493,,2,Quidde,1927,male,peace
Aristide,490,,2,Briand,1926,male,peace
Gustav,491,,2,Stresemann,1926,male,peace
Sir Austen,488,,2,Chamberlain,1925,male,peace
Charles Gates,489,,2,Dawes,1925,male,peace
Fridtjof,487,,1,Nansen,1922,male,peace
Karl Hjalmar,485,,2,Branting,1921,male,peace
Christian Lous,486,,2,Lange,1921,male,peace
Léon Victor Auguste,484,,1,Bourgeois,1920,male,peace
Thomas Woodrow,483,,1,Wilson,1919,male,peace
Comité international de la Croix Rouge (International Committee of the Red Cross),482,,1,,1917,org,peace
Henri,481,,1,La Fontaine,1913,male,peace
Elihu,480,,1,Root,1912,male,peace
Tobias Michael Carel,478,,2,Asser,1911,male,peace
Alfred Hermann,479,,2,Fried,1911,male,peace
Bureau international permanent de la Paix (Permanent International Peace Bureau),477,,1,,1910,org,peace
Auguste Marie François,475,,2,Beernaert,1909,male,peace
Paul Henri Benjamin Balluet,476,,2,"d'Estournelles de Constant, Baron de Constant de Rebecque",1909,male,peace
Klas Pontus,473,,2,Arnoldson,1908,male,peace
Fredrik,474,,2,Bajer,1908,male,peace
Ernesto Teodoro,471,,2,Moneta,1907,male,peace
Louis,472,,2,Renault,1907,male,peace
Theodore,470,,1,Roosevelt,1906,male,peace
Baroness Bertha Sophie Felicita,468,,1,"von Suttner, née Countess Kinsky von Chinic und Tettau",1905,female,peace
Institut de droit international (Institute of International Law),467,,1,,1904,org,peace
William Randal,466,,1,Cremer,1903,male,peace
Élie,464,,2,Ducommun,1902,male,peace
Charles Albert,465,,2,Gobat,1902,male,peace
Jean Henry,462,,2,Dunant,1901,male,peace
Frédéric,463,,2,Passy,1901,male,peace
Tomas,921,"""for mechanistic studies of DNA repair""",3,Lindahl,2015,male,chemistry
Paul,922,"""for mechanistic studies of DNA repair""",3,Modrich,2015,male,chemistry
Aziz,923,"""for mechanistic studies of DNA repair""",3,Sancar,2015,male,chemistry
Eric,909,"""for the development of super-resolved fluorescence microscopy""",3,Betzig,2014,male,chemistry
Stefan W.,910,"""for the development of super-resolved fluorescence microscopy""",3,Hell,2014,male,chemistry
William E.,911,"""for the development of super-resolved fluorescence microscopy""",3,Moerner,2014,male,chemistry
Martin,889,"""for the development of multiscale models for complex chemical systems""",3,Karplus,2013,male,chemistry
Michael,890,"""for the development of multiscale models for complex chemical systems""",3,Levitt,2013,male,chemistry
Arieh,891,"""for the development of multiscale models for complex chemical systems""",3,Warshel,2013,male,chemistry
Robert J.,878,"""for studies of G-protein-coupled receptors""",2,Lefkowitz,2012,male,chemistry
Brian K.,879,"""for studies of G-protein-coupled receptors""",2,Kobilka,2012,male,chemistry
Dan,867,"""for the discovery of quasicrystals""",1,Shechtman,2011,male,chemistry
Richard F.,851,"""for palladium-catalyzed cross couplings in organic synthesis""",3,Heck,2010,male,chemistry
Ei-ichi,852,"""for palladium-catalyzed cross couplings in organic synthesis""",3,Negishi,2010,male,chemistry
Akira,853,"""for palladium-catalyzed cross couplings in organic synthesis""",3,Suzuki,2010,male,chemistry
Venkatraman,841,"""for studies of the structure and function of the ribosome""",3,Ramakrishnan,2009,male,chemistry
Thomas A.,842,"""for studies of the structure and function of the ribosome""",3,Steitz,2009,male,chemistry
Ada E.,843,"""for studies of the structure and function of the ribosome""",3,Yonath,2009,female,chemistry
Osamu,829,"""for the discovery and development of the green fluorescent protein, GFP""",3,Shimomura,2008,male,chemistry
Martin,830,"""for the discovery and development of the green fluorescent protein, GFP""",3,Chalfie,2008,male,chemistry
Roger Y.,831,"""for the discovery and development of the green fluorescent protein, GFP""",3,Tsien,2008,male,chemistry
Gerhard,816,"""for his studies of chemical processes on solid surfaces""",1,Ertl,2007,male,chemistry
Roger D.,806,"""for his studies of the molecular basis of eukaryotic transcription""",1,Kornberg,2006,male,chemistry
Yves,794,"""for the development of the metathesis method in organic synthesis""",3,Chauvin,2005,male,chemistry
Robert H.,795,"""for the development of the metathesis method in organic synthesis""",3,Grubbs,2005,male,chemistry
Richard R.,796,"""for the development of the metathesis method in organic synthesis""",3,Schrock,2005,male,chemistry
Aaron,779,"""for the discovery of ubiquitin-mediated protein degradation""",3,Ciechanover,2004,male,chemistry
Avram,780,"""for the discovery of ubiquitin-mediated protein degradation""",3,Hershko,2004,male,chemistry
Irwin,781,"""for the discovery of ubiquitin-mediated protein degradation""",3,Rose,2004,male,chemistry
Peter,769,"""for the discovery of water channels""",2,Agre,2003,male,chemistry
Roderick,770,"""for structural and mechanistic studies of ion channels""",2,MacKinnon,2003,male,chemistry
John B.,756,"""for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules""",4,Fenn,2002,male,chemistry
Koichi,757,"""for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules""",4,Tanaka,2002,male,chemistry
Kurt,758,"""for his development of nuclear magnetic resonance spectroscopy for determining the three-dimensional structure of biological macromolecules in solution""",2,Wüthrich,2002,male,chemistry
William S.,741,"""for their work on chirally catalysed hydrogenation reactions""",4,Knowles,2001,male,chemistry
Ryoji,742,"""for their work on chirally catalysed hydrogenation reactions""",4,Noyori,2001,male,chemistry
K. Barry,743,"""for his work on chirally catalysed oxidation reactions""",2,Sharpless,2001,male,chemistry
Alan J.,729,"""for the discovery and development of conductive polymers""",3,Heeger,2000,male,chemistry
Alan G.,730,"""for the discovery and development of conductive polymers""",3,MacDiarmid,2000,male,chemistry
Hideki,731,"""for the discovery and development of conductive polymers""",3,Shirakawa,2000,male,chemistry
Ahmed H.,292,"""for his studies of the transition states of chemical reactions using femtosecond spectroscopy""",1,Zewail,1999,male,chemistry
Walter,290,"""for his development of the density-functional theory""",2,Kohn,1998,male,chemistry
John A.,291,"""for his development of computational methods in quantum chemistry""",2,Pople,1998,male,chemistry
Paul D.,287,"""for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)""",4,Boyer,1997,male,chemistry
John E.,288,"""for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)""",4,Walker,1997,male,chemistry
Jens C.,289,"""for the first discovery of an ion-transporting enzyme, Na+, K+ -ATPase""",2,Skou,1997,male,chemistry
Robert F.,284,"""for their discovery of fullerenes""",3,Curl Jr.,1996,male,chemistry
Sir Harold W.,285,"""for their discovery of fullerenes""",3,Kroto,1996,male,chemistry
Richard E.,286,"""for their discovery of fullerenes""",3,Smalley,1996,male,chemistry
Paul J.,281,"""for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone""",3,Crutzen,1995,male,chemistry
Mario J.,282,"""for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone""",3,Molina,1995,male,chemistry
F. Sherwood,283,"""for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone""",3,Rowland,1995,male,chemistry
George A.,280,"""for his contribution to carbocation chemistry""",1,Olah,1994,male,chemistry
Kary B.,278,"""for his invention of the polymerase chain reaction (PCR) method""",2,Mullis,1993,male,chemistry
Michael,279,"""for his fundamental contributions to the establishment of oligonucleotide-based, site-directed mutagenesis and its development for protein studies""",2,Smith,1993,male,chemistry
Rudolph A.,277,"""for his contributions to the theory of electron transfer reactions in chemical systems""",1,Marcus,1992,male,chemistry
Richard R.,276,"""for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy""",1,Ernst,1991,male,chemistry
Elias James,275,"""for his development of the theory and methodology of organic synthesis""",1,Corey,1990,male,chemistry
Sidney,273,"""for their discovery of catalytic properties of RNA""",2,Altman,1989,male,chemistry
Thomas R.,274,"""for their discovery of catalytic properties of RNA""",2,Cech,1989,male,chemistry
Johann,270,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",3,Deisenhofer,1988,male,chemistry
Robert,271,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",3,Huber,1988,male,chemistry
Hartmut,272,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",3,Michel,1988,male,chemistry
Donald J.,267,"""for their development and use of molecules with structure-specific interactions of high selectivity""",3,Cram,1987,male,chemistry
Jean-Marie,268,"""for their development and use of molecules with structure-specific interactions of high selectivity""",3,Lehn,1987,male,chemistry
Charles J.,269,"""for their development and use of molecules with structure-specific interactions of high selectivity""",3,Pedersen,1987,male,chemistry
Dudley R.,264,"""for their contributions concerning the dynamics of chemical elementary processes""",3,Herschbach,1986,male,chemistry
Yuan T.,265,"""for their contributions concerning the dynamics of chemical elementary processes""",3,Lee,1986,male,chemistry
John C.,266,"""for their contributions concerning the dynamics of chemical elementary processes""",3,Polanyi,1986,male,chemistry
Herbert A.,262,"""for their outstanding achievements in the development of direct methods for the determination of crystal structures""",2,Hauptman,1985,male,chemistry
Jerome,263,"""for their outstanding achievements in the development of direct methods for the determination of crystal structures""",2,Karle,1985,male,chemistry
Robert Bruce,261,"""for his development of methodology for chemical synthesis on a solid matrix""",1,Merrifield,1984,male,chemistry
Henry,260,"""for his work on the mechanisms of electron transfer reactions, especially in metal complexes""",1,Taube,1983,male,chemistry
Aaron,259,"""for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes""",1,Klug,1982,male,chemistry
Kenichi,257,"""for their theories, developed independently, concerning the course of chemical reactions""",2,Fukui,1981,male,chemistry
Roald,258,"""for their theories, developed independently, concerning the course of chemical reactions""",2,Hoffmann,1981,male,chemistry
Paul,254,"""for his fundamental studies of the biochemistry of nucleic acids, with particular regard to recombinant-DNA""",2,Berg,1980,male,chemistry
Walter,255,"""for their contributions concerning the determination of base sequences in nucleic acids""",4,Gilbert,1980,male,chemistry
Frederick,222,"""for their contributions concerning the determination of base sequences in nucleic acids""",4,Sanger,1980,male,chemistry
Herbert C.,252,"""for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis""",2,Brown,1979,male,chemistry
Georg,253,"""for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis""",2,Wittig,1979,male,chemistry
Peter D.,251,"""for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory""",1,Mitchell,1978,male,chemistry
Ilya,250,"""for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures""",1,Prigogine,1977,male,chemistry
William N.,249,"""for his studies on the structure of boranes illuminating problems of chemical bonding""",1,Lipscomb,1976,male,chemistry
John Warcup,247,"""for his work on the stereochemistry of enzyme-catalyzed reactions""",2,Cornforth,1975,male,chemistry
Vladimir,248,"""for his research into the stereochemistry of organic molecules and reactions""",2,Prelog,1975,male,chemistry
Paul J.,246,"""for his fundamental achievements, both theoretical and experimental, in the physical chemistry of the macromolecules""",1,Flory,1974,male,chemistry
Ernst Otto,244,"""for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds""",2,Fischer,1973,male,chemistry
Geoffrey,245,"""for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds""",2,Wilkinson,1973,male,chemistry
Christian B.,241,"""for his work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation""",2,Anfinsen,1972,male,chemistry
Stanford,242,"""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule""",4,Moore,1972,male,chemistry
William H.,243,"""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule""",4,Stein,1972,male,chemistry
Gerhard,240,"""for his contributions to the knowledge of electronic structure and geometry of molecules, particularly free radicals""",1,Herzberg,1971,male,chemistry
Luis F.,239,"""for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates""",1,Leloir,1970,male,chemistry
Derek H. R.,237,"""for their contributions to the development of the concept of conformation and its application in chemistry""",2,Barton,1969,male,chemistry
Odd,238,"""for their contributions to the development of the concept of conformation and its application in chemistry""",2,Hassel,1969,male,chemistry
Lars,236,"""for the discovery of the reciprocal relations bearing his name, which are fundamental for the thermodynamics of irreversible processes""",1,Onsager,1968,male,chemistry
Manfred,233,"""for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy""",2,Eigen,1967,male,chemistry
Ronald George Wreyford,234,"""for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy""",4,Norrish,1967,male,chemistry
George,235,"""for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy""",4,Porter,1967,male,chemistry
Robert S.,232,"""for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method""",1,Mulliken,1966,male,chemistry
Robert Burns,231,"""for his outstanding achievements in the art of organic synthesis""",1,Woodward,1965,male,chemistry
Dorothy Crowfoot,230,"""for her determinations by X-ray techniques of the structures of important biochemical substances""",1,Hodgkin,1964,female,chemistry
Karl,228,"""for their discoveries in the field of the chemistry and technology of high polymers""",2,Ziegler,1963,male,chemistry
Giulio,229,"""for their discoveries in the field of the chemistry and technology of high polymers""",2,Natta,1963,male,chemistry
Max Ferdinand,226,"""for their studies of the structures of globular proteins""",2,Perutz,1962,male,chemistry
John Cowdery,227,"""for their studies of the structures of globular proteins""",2,Kendrew,1962,male,chemistry
Melvin,225,"""for his research on the carbon dioxide assimilation in plants""",1,Calvin,1961,male,chemistry
Willard Frank,224,"""for his method to use carbon-14 for age determination in archaeology, geology, geophysics, and other branches of science""",1,Libby,1960,male,chemistry
Jaroslav,223,"""for his discovery and development of the polarographic methods of analysis""",1,Heyrovsky,1959,male,chemistry
Frederick,222,"""for his work on the structure of proteins, especially that of insulin""",1,Sanger,1958,male,chemistry
Lord (Alexander R.),221,"""for his work on nucleotides and nucleotide co-enzymes""",1,Todd,1957,male,chemistry
Sir Cyril Norman,219,"""for their researches into the mechanism of chemical reactions""",2,Hinshelwood,1956,male,chemistry
Nikolay Nikolaevich,220,"""for their researches into the mechanism of chemical reactions""",2,Semenov,1956,male,chemistry
Vincent,218,"""for his work on biochemically important sulphur compounds, especially for the first synthesis of a polypeptide hormone""",1,du Vigneaud,1955,male,chemistry
Linus Carl,217,"""for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances""",1,Pauling,1954,male,chemistry
Hermann,216,"""for his discoveries in the field of macromolecular chemistry""",1,Staudinger,1953,male,chemistry
Archer John Porter,214,"""for their invention of partition chromatography""",2,Martin,1952,male,chemistry
Richard Laurence Millington,215,"""for their invention of partition chromatography""",2,Synge,1952,male,chemistry
Edwin Mattison,212,"""for their discoveries in the chemistry of the transuranium elements""",2,McMillan,1951,male,chemistry
Glenn Theodore,213,"""for their discoveries in the chemistry of the transuranium elements""",2,Seaborg,1951,male,chemistry
Otto Paul Hermann,210,"""for their discovery and development of the diene synthesis""",2,Diels,1950,male,chemistry
Kurt,211,"""for their discovery and development of the diene synthesis""",2,Alder,1950,male,chemistry
William Francis,209,"""for his contributions in the field of chemical thermodynamics, particularly concerning the behaviour of substances at extremely low temperatures""",1,Giauque,1949,male,chemistry
Arne Wilhelm Kaurin,208,"""for his research on electrophoresis and adsorption analysis, especially for his discoveries concerning the complex nature of the serum proteins""",1,Tiselius,1948,male,chemistry
Sir Robert,207,"""for his investigations on plant products of biological importance, especially the alkaloids""",1,Robinson,1947,male,chemistry
James Batcheller,204,"""for his discovery that enzymes can be crystallized""",2,Sumner,1946,male,chemistry
John Howard,205,"""for their preparation of enzymes and virus proteins in a pure form""",4,Northrop,1946,male,chemistry
Wendell Meredith,206,"""for their preparation of enzymes and virus proteins in a pure form""",4,Stanley,1946,male,chemistry
Artturi Ilmari,203,"""for his research and inventions in agricultural and nutrition chemistry, especially for his fodder preservation method""",1,Virtanen,1945,male,chemistry
Otto,202,"""for his discovery of the fission of heavy nuclei""",1,Hahn,1944,male,chemistry
George,201,"""for his work on the use of isotopes as tracers in the study of chemical processes""",1,de Hevesy,1943,male,chemistry
Adolf Friedrich Johann,199,"""for his work on sex hormones""",2,Butenandt,1939,male,chemistry
Leopold,200,"""for his work on polymethylenes and higher terpenes""",2,Ruzicka,1939,male,chemistry
Richard,198,"""for his work on carotenoids and vitamins""",1,Kuhn,1938,male,chemistry
Walter Norman,196,"""for his investigations on carbohydrates and vitamin C""",2,Haworth,1937,male,chemistry
Paul,197,"""for his investigations on carotenoids, flavins and vitamins A and B2""",2,Karrer,1937,male,chemistry
Petrus (Peter) Josephus Wilhelmus,195,"""for his contributions to our knowledge of molecular structure through his investigations on dipole moments and on the diffraction of X-rays and electrons in gases""",1,Debye,1936,male,chemistry
Frédéric,193,"""in recognition of their synthesis of new radioactive elements""",2,Joliot,1935,male,chemistry
Irène,194,"""in recognition of their synthesis of new radioactive elements""",2,Joliot-Curie,1935,female,chemistry
Harold Clayton,192,"""for his discovery of heavy hydrogen""",1,Urey,1934,male,chemistry
Irving,191,"""for his discoveries and investigations in surface chemistry""",1,Langmuir,1932,male,chemistry
Carl,189,"""in recognition of their contributions to the invention and development of chemical high pressure methods""",2,Bosch,1931,male,chemistry
Friedrich,190,"""in recognition of their contributions to the invention and development of chemical high pressure methods""",2,Bergius,1931,male,chemistry
Hans,188,"""for his researches into the constitution of haemin and chlorophyll and especially for his synthesis of haemin""",1,Fischer,1930,male,chemistry
Arthur,186,"""for their investigations on the fermentation of sugar and fermentative enzymes""",2,Harden,1929,male,chemistry
Hans Karl August Simon,187,"""for their investigations on the fermentation of sugar and fermentative enzymes""",2,von Euler-Chelpin,1929,male,chemistry
Adolf Otto Reinhold,185,"""for the services rendered through his research into the constitution of the sterols and their connection with the vitamins""",1,Windaus,1928,male,chemistry
Heinrich Otto,184,"""for his investigations of the constitution of the bile acids and related substances""",1,Wieland,1927,male,chemistry
The (Theodor),183,"""for his work on disperse systems""",1,Svedberg,1926,male,chemistry
Richard Adolf,182,"""for his demonstration of the heterogenous nature of colloid solutions and for the methods he used, which have since become fundamental in modern colloid chemistry""",1,Zsigmondy,1925,male,chemistry
Fritz,181,"""for his invention of the method of micro-analysis of organic substances""",1,Pregl,1923,male,chemistry
Francis William,180,"""for his discovery, by means of his mass spectrograph, of isotopes, in a large number of non-radioactive elements, and for his enunciation of the whole-number rule""",1,Aston,1922,male,chemistry
Frederick,179,"""for his contributions to our knowledge of the chemistry of radioactive substances, and his investigations into the origin and nature of isotopes""",1,Soddy,1921,male,chemistry
Walther Hermann,178,"""in recognition of his work in thermochemistry""",1,Nernst,1920,male,chemistry
Fritz,177,"""for the synthesis of ammonia from its elements""",1,Haber,1918,male,chemistry
Richard Martin,176,"""for his researches on plant pigments, especially chlorophyll""",1,Willstätter,1915,male,chemistry
Theodore William,175,"""in recognition of his accurate determinations of the atomic weight of a large number of chemical elements""",1,Richards,1914,male,chemistry
Alfred,174,"""in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry""",1,Werner,1913,male,chemistry
Victor,172,"""for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry""",2,Grignard,1912,male,chemistry
Paul,173,"""for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years""",2,Sabatier,1912,male,chemistry
Marie,6,"""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element""",1,"Curie, née Sklodowska",1911,female,chemistry
Otto,169,"""in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds""",1,Wallach,1910,male,chemistry
Wilhelm,168,"""in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction""",1,Ostwald,1909,male,chemistry
Ernest,167,"""for his investigations into the disintegration of the elements, and the chemistry of radioactive substances""",1,Rutherford,1908,male,chemistry
Eduard,166,"""for his biochemical researches and his discovery of cell-free fermentation""",1,Buchner,1907,male,chemistry
Henri,165,"""in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him""",1,Moissan,1906,male,chemistry
Johann Friedrich Wilhelm Adolf,164,"""in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds""",1,von Baeyer,1905,male,chemistry
Sir William,163,"""in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system""",1,Ramsay,1904,male,chemistry
Svante August,162,"""in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation""",1,Arrhenius,1903,male,chemistry
Hermann Emil,161,"""in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses""",1,Fischer,1902,male,chemistry
Jacobus Henricus,160,"""in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions""",1,van 't Hoff,1901,male,chemistry
Svetlana,924,"""for her polyphonic writings, a monument to suffering and courage in our time""",1,Alexievich,2015,female,literature
Patrick,912,"""for the art of memory with which he has evoked the most ungraspable human destinies and
uncovered the life-world of the occupation""",1,Modiano,2014,male,literature
Alice,892,"""master of the contemporary short story""",1,Munro,2013,female,literature
Mo,880,"""who with hallucinatory realism merges folk tales, history and the contemporary""",1,Yan,2012,male,literature
Tomas,868,"""because, through his condensed, translucent images, he gives us fresh access to reality""",1,Tranströmer,2011,male,literature
Mario,854,"""for his cartography of structures of power and his trenchant images of the individual's resistance, revolt, and defeat""",1,Vargas Llosa,2010,male,literature
Herta,844,"""who, with the concentration of poetry and the frankness of prose, depicts the landscape of the dispossessed""",1,Müller,2009,female,literature
Jean-Marie Gustave,832,"""author of new departures, poetic adventure and sensual ecstasy, explorer of a humanity beyond and below the reigning civilization""",1,Le Clézio,2008,male,literature
Doris,817,"""that epicist of the female experience, who with scepticism, fire and visionary power has subjected a divided civilisation to scrutiny""",1,Lessing,2007,female,literature
Orhan,808,"""who in the quest for the melancholic soul of his native city has discovered new symbols for the clash and interlacing of cultures""",1,Pamuk,2006,male,literature
Harold,801,"""who in his plays uncovers the precipice under everyday prattle and forces entry into oppression's closed rooms""",1,Pinter,2005,male,literature
Elfriede,782,"""for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clich&eacute;s and their subjugating power""",1,Jelinek,2004,female,literature
John M.,763,"""who in innumerable guises portrays the surprising involvement of the outsider""",1,Coetzee,2003,male,literature
Imre,761,"""for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history""",1,Kertész,2002,male,literature
Sir Vidiadhar Surajprasad,747,"""for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories""",1,Naipaul,2001,male,literature
Gao,734,"""for an &aelig;uvre of universal validity, bitter insights and linguistic ingenuity, which has opened new paths for the Chinese novel and drama""",1,Xingjian,2000,male,literature
Günter,676,"""whose frolicsome black fables portray the forgotten face of history""",1,Grass,1999,male,literature
José,675,"""who with parables sustained by imagination, compassion and irony continually enables us once again to apprehend an elusory reality""",1,Saramago,1998,male,literature
Dario,674,"""who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden""",1,Fo,1997,male,literature
Wislawa,673,"""for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality""",1,Szymborska,1996,female,literature
Seamus,672,"""for works of lyrical beauty and ethical depth, which exalt everyday miracles and the living past""",1,Heaney,1995,male,literature
Kenzaburo,671,"""who with poetic force creates an imagined world, where life and myth condense to form a disconcerting picture of the human predicament today""",1,Oe,1994,male,literature
Toni,670,"""who in novels characterized by visionary force and poetic import, gives life to an essential aspect of American reality""",1,Morrison,1993,female,literature
Derek,669,"""for a poetic oeuvre of great luminosity, sustained by a historical vision, the outcome of a multicultural commitment""",1,Walcott,1992,male,literature
Nadine,668,"""who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity""",1,Gordimer,1991,female,literature
Octavio,667,"""for impassioned writing with wide horizons, characterized by sensuous intelligence and humanistic integrity""",1,Paz,1990,male,literature
Camilo José,666,"""for a rich and intensive prose, which with restrained compassion forms a challenging vision of man's vulnerability""",1,Cela,1989,male,literature
Naguib,665,"""who, through works rich in nuance - now clear-sightedly realistic, now evocatively ambiguous - has formed an Arabian narrative art that applies to all mankind""",1,Mahfouz,1988,male,literature
